word	gloss	definition	pos
rAgivilst	Special-Circumstances	Special Circumstances	pos
pantSA	vegetable	vegetable	pos
wOgE	[impromptu]	(particle showing that an action is brief and unplanned)	pos
owEhAkE	be-before	to be before	pos
ge	you+sg	second-person singular pronoun	pos
TAn	calculate	to calculate	pos
wetsEkE	after	after (in time)	pos
spatsmAHrAt	fight[n]	to fight	pos
gi	allow	to allow	pos
psot	capitulate	to give in; to capitulate	pos
lEg	more	more ('x lig y' = 'more y than x')	pos
lEm	music	music	pos
to	they+sg	third-person singular pronoun	pos
gafmaramOd	glyph	letter/character/glyph/etc.	pos
blEkCakLen	careful	careful	pos
lyaO	teach	to teach	pos
huma	group	group	pos
ljGumwer	harmony	harmony; coöperation	pos
OprahA	go	to go/move	pos
HeEnda	matter[n]	matter	pos
jhE	about	about/concerning/that	pos
Tezne	orange	orange/yellow (560-620 nm)	pos
spats	unpleasant	unpleasant	pos
meklA	head[n]	head	pos
skatsa	writing-tool	writing tool	pos
ljGwuwE	freedom	freedom	pos
hyl	good	good	pos
yafmurerE	acceptance	acceptance	pos
CaSAG	in-what-case	in what case; under what circumstances	pos
tEGE	understanding	understanding	pos
ze	yes	yes	pos
mlEG	shine[v]	to shine/radiate	pos
sAnomagE	beginning	beginning	pos
EvemE	friend	friend	pos
ekeSklatSa	estrange-from[v]	to become estranged from	pos
nadekmlEGEneltik	plant[n]	plant	pos
saOlejnE	sex	sex	pos
CerokH	testosteron	testosterone	pos
gatSpen	escape[v]	to escape from	pos
erTgnAt	Earth-year	Earth year	pos
beyan	future	future	pos
larESinE	smile[n]	a smile	pos
HyspbinheldjtSawE	imperialism	imperialism	pos
alumragE	intimacy	intimacy; intimate partner	pos
goretSawE	impression	impression	pos
koelget	sibling	sibling	pos
TAnE	math	math	pos
sAnomag	start[v]	to start	pos
tEG	understand	to understand	pos
osha	be-under	to be under/below	pos
owetsEkE	be-after	to be after	pos
lemitEG	recognize	to recognize	pos
Shorn	sponge	sponge; foam	pos
hapaO	fast	fast	pos
hylge	hello	hello	pos
givilst	circumstances	circumstances	pos
leE	beloved	beloved (form of address)	pos
waGhagnAt	west	west	pos
bos	stand-upright	to be upright/erect	pos
mAHrAt	struggle[v]	to struggle	pos
anTwa	universe	universe	pos
galol	sound	sound	pos
aktOEnt	copy-image	to copy an image	pos
aka	this	this/these	det
lemitEGE	recognition	recognition	pos
guHet	dirt	dirt/soil/land	pos
HuS	decrepitude	a state of decay	pos
mAH	defy	to go against someone's will	pos
pren	spaceship	spaceship	pos
jwewE	feeling	feeling/emotion	pos
marAn	Marain	Marain language	pos
meEG	life	life	pos
tas	sit	to sit/rest	pos
blEkE	avoidance	avoidance; avoider	pos
sopelsprAte	penis	penis	pos
zim	ink	ink (commonly used as a metaphor for ideas)	pos
samOneft	blanket[n]	blanket	pos
klatSawE	memory	memory	pos
hakla	learn	to learn	pos
nOft	do	to do	pos
jsAn	there-is	there is/are	pos
sAno	exist	to exist	pos
gorewE	meeting[n]	meeting/rendezvous	pos
des	become[v]	to become	pos
HakLEH	hate[v]	to hate	pos
CAH	VR-dweller	a person who spends most of their time in virtual space (internet, videogames, VR, etc.)	pos
ofblat	body	body	pos
SA	what	who/what/which	pos
rAbin	the-Culture	the Culture	pos
gatdzodlemi	touch[v]	to touch/feel	pos
OprAhe	humanoid	humanoid	pos
lemi	sense[v]	to sense	pos
swamawE	request[n]	polite request	pos
spatsmAHrAtE	combat	combat	pos
okHrAt	take[v]	to take by force	pos
tSa	consider	to think about	pos
hemnElOwE	cuddles[n]	cuddles	pos
hegAretmara	gravitas	gravitas	pos
lulOrpren	aquatic-vehicle	aquatic vehicle	pos
klatSa	remember	to remember	pos
LA	you+pl	second-person plural pronoun	pos
EntSpenE	eye	eye/camera	pos
metwu	many	a lot/many	pos
alumrag	intimate-cuddle[v]	to cuddle/snuggle non-platonically	pos
kotuk	metal	metal/mineral/rock	pos
sjwon	limit[v]	to limit/curtail	pos
LaCi	material-needs[n]	material needs	pos
wetsE	front	front/forwards	pos
talE	there	there	pos
pAwAkA	rhyme[v]	to rhyme	pos
mlEGEmara	colour	colour	pos
akalE	here	here	pos
mag	floor	base/floor/foundation	pos
samOn	warm	warm	pos
kataH	direction-right	right (direction)	pos
meEGket	DNA	DNA	pos
rAlulOr	ocean	ocean; sea	pos
owetsE	be-in-front-of	to be in front of	pos
kwemra	respect[v]	to respect boundaries/rules/guidelines	pos
rAspatsmAHrAtE	war	war	pos
hLeH	feces	feces/shit	pos
djwE	question	question; questioner	pos
jwe	feel	to feel (emotion)	pos
sj	other	other	pos
zesO	place	place	pos
sewOk	food	food	pos
gunAmere	planet	an object that isn't a star that has enough gravity to make it spheroid, such as a planet or moon	pos
fO	ability	ability; capacity; power	pos
lA	machine[n]	machine	pos
Entlemi	see	to see	pos
hAlaks	run[v]	to run	pos
mlEGE	light	light	pos
kwemrawE	respect[n]	respect for rules/boundaries/guidelines	pos
heron	time	time	pos
lu	flow	flow/current/wind	pos
marawE	manifestation	manifestation	pos
kOhawE	necessity	necessity	pos
dam	of	of	pos
naharE	effect[n]	effects (of something on the body, such as drugs, hunger, sleep, etc.)	pos
ekeSE	depletion	depletion; overuser	pos
GuhiHE	nonchalance	nonchalance; coolness	pos
bahLaveHtE	property	private property (more than one person can use); rich person	pos
yafSpen	give	to give	pos
daG	like	as/like/as a result of/while/same	pos
dzod	middle	middle/center	pos
Saf	release[v]	to release pressure	pos
aktOlulOr	semen	semen	pos
tSawE	thought	thought	pos
bahLaveHt	hoard[v]	to hoard; to own more than one can use by oneself	pos
Suztmara	polite	polite	pos
CakLen	mistake[n]	mistake	pos
nAlaksEheron	winter	winter	pos
Ent	image	image; view	pos
oGE	people[pron]	fourth-person plural pronoun	pos
gol	six	six	pos
AGSACa	what-if	what if	pos
gafmarawE	text[n]	text; written words; writer	pos
melehagnAt	north	north	pos
ra	I	first-person singular pronoun	pos
kataOtE	response	response	pos
aktOgafmarawE	text-copy-means	means of copying text	pos
lAmEGhol	honour[n]	respect; honour	pos
sAk	closed	closed	pos
CutSa	logic	logic	pos
ora	we	first-person plural pronoun	pos
En	because	for/because	pos
fAyont dam pAwAkA	ryhme-scheme	rhyme scheme	pos
Ensle	make[v]	to make	pos
kotukolteb	chain	chain	pos
SpenE	opening	opening	pos
aklemi	smell[v]	to smell	pos
Evem	like[v]	to like	pos
Lami	four	four	pos
galollemi	hear[v]	to hear	pos
aktOEntE	image-copy-means	means of copying images	pos
nAlimin	estrogen	estrogen	pos
zaG	chemical	chemical	pos
snogE	oscillation	oscillation; a wave	pos
CuGEbda	prisoner	prisoner/slave	pos
kHahLat	disrespect[v]	to disrespect	pos
pAwAkAwE	rhyme[n]	a rhyme	pos
zAnO	tunnel	tube/tunnel/corridor	pos
marakabowE	declaration	declaration	pos
gaftSavet	imply	to mean/imply	pos
wataOnOft	attitude	attitude	pos
gunA	sphere	sphere	pos
fAyontSA	by-what-way	through what route/method/means	pos
kserAwE	space-travel	space travel	pos
sto	one	one	pos
lyaOwE	lesson	lesson	pos
murermara	mind-state	mind-state	pos
EkE	present-time	present (time)	pos
gnAt	around	around; orbital period (when put with the name of a satellite)	pos
miH	difficult	difficult	pos
heTE	belief	belief; believer	pos
sab	red	red (620-760 nm)	pos
saf	hair	hair/fur	pos
LoCu	contempt	contempt	pos
devormE	sport[n]	sport; sports player	pos
amno	parent	parent	pos
zawen	ride[v]	to ride	pos
HAyep	or	or	pos
lAsoeter	play[v]	to play (a videogame)	pos
sevrik	child	child/offspring	pos
goretSa	have-impression	to have an impression of	pos
snog	oscillate	to oscillate	pos
mAHrAtE	struggle[n]	struggle	pos
Cisp	be-ashamed	to be ashamed	pos
sprAte	tree	tree	pos
swama	request[v]	to politely request	pos
lulOr	liqud	liquid	pos
fAyont	way	way/method/path	pos
EltsEwE	usage	usage; user	pos
ko	five	five	pos
fjz	overcome[v]	to overcome	pos
owataO	face[v]	to face/to turn towards	pos
kataOt	respond	to respond	pos
des sAk	close[v]	to close	pos
AnhagnAt	south	south	pos
lomra	flower	flower	pos
lerEn	lie-down	to lie down	pos
ksE	star	star	pos
ekeSklatSawE	estrangement	estrangement; former acquaintance	pos
fjzE	overcoming[n]	overcoming; determination; one who is determined	pos
dafinj	young	young	pos
gule	accessory	accessory; additional part	pos
haklawE	learner	learner; learning	pos
hre	two	two	pos
eselE	attractive	attractive	pos
dj	ask[v]	to ask a question	pos
da	of	of (when preceding a word that begins with m)	pos
EnSA	why	why	pos
stufO	jump[v]	to jump	pos
kOha	need[v]	to need	pos
giwE	permission	permission	pos
Hyspbinheldjt	empire	empire	pos
wataOksEheron	summer	summer	pos
sha	under	under/down	pos
oSin	be-above	to be above/over	pos
embwel	outcome	outcome	pos
stravdfwEst	battery	battery	pos
ljGwu	release[v]	to release	pos
aktOwE	copy[n]	a reproduction; a copy; copier	pos
zawenE	ride[n]	ride	pos
Spen	go-through	to go through; to enter/exit	pos
EdzEn	fear	fear	pos
brAn	yellow-green	yellow-green (530-560 nm)	pos
kabowE	speech	speech; speaker	pos
wolOg	plan[n]	a plan	pos
marakabo	declare	to declare	pos
tSawEnt	symbol	symbol	pos
ketE	instruction	instruction	pos
TOwE	disposal	disposal	pos
wu	they+pl	third-person plural pronoun	pos
gafmara	write	to write/type	pos
anoG	possibility	possibility	pos
hemnElO	platonic-cuddle	to cuddle/snuggle platonically	pos
saveneft	green	green/blue-green (490-530 nm)	pos
ObE	drug	drug	pos
ljwA	seven	seven	pos
zaGak	scent	scent	pos
bosE	erection	erection	pos
des swo	open[v]	to open	pos
blEk	avoid	to avoid	pos
kEgE	arthropod	arthropod/arthropod-like alien	pos
COS	lie[n]	lie; intentional falsehood	pos
okehE	want	to want	pos
wiAkE	before	before (in time)	pos
Entmara	appeaer	to appear	pos
leEmalan	love[v]	to love	pos
ket	command[v]	to command/instruct	pos
mara	manifest[v]	to manifest	pos
swo	open[jj]	open	pos
EnsleEltsEmarawE	worker	worker	pos
nadek	consume	to consume	pos
sHES	be-misled	to be misled or fooled	pos
olup	fruit	fruit	pos
yaf	have	to hold; to have	pos
po	small	small	pos
jwaga	play[v]	to play (a board game, puzzle, etc.)	pos
kHahLatE	disrespect[n]	disrespectfulness	pos
gatSpenE	escape[n]	an escape	pos
CA	[honorific]	form of address for someone respected	pos
gat	out	out	pos
gesta	slow	slow	pos
goram	infrared	infrared (760-800 nm)	pos
gaf	word	word	pos
ksEhuma	galaxy	galaxy	pos
gunAmeregnAt	sidereal-day	sidereal day	pos
fenEk	normal	normal	pos
neltik	inanimate-lifeform	a living thing that doesn't move	pos
Ca	if	if	pos
ognAtE	Orbital	Orbital	pos
delEjnlomra	vagina	vagina	pos
lemiwE	sensation	sensation; sensor	pos
Cu	hard	hard	pos
kabolA	comm-device	communication device	pos
noHtE	stopper	stopper; stopping	pos
TEnLaz	unfortunate	unfortunate	pos
ogat	be-outside	to be outside of	pos
mAHE	opponent	opponent	pos
sHESE	trick[n]	a trick	pos
okataH	be-right-of	to be to the right of	pos
vA	soft	soft	pos
hLOf	dolt	unpleasant person	pos
magmurer	subconscious	subconscious	pos
psotE	capitulation	capitulation	pos
devorm	play[v]	to play (a sport)	pos
murerlu	consciousness	consciousness	pos
lelemgalol	language	language	pos
HoldE	animal	animal	pos
mOd	contents	contents; member; part	pos
saOlejn	have-sex-with	to have sex with	pos
tasE	seat	seat/resting place	pos
bahLaveHtSawE	capitalism	capitalism; capitalist	pos
nahar	feel-effects	to feel the effects of	pos
okehEwE	desire	desire	pos
yafE	arm	arm	pos
EltsE	use[v]	to use	pos
nOftE	action	action; behaviour	pos
larESin	smile[v]	to smile	pos
kserA	travel[v]	to travel through space	pos
eft	membrane	fabric/membrane/skin	pos
dosa	three	three	pos
heldjt	structure[n]	structure; building	pos
mEGusetSawE	socialism	socialism	pos
wia	back	back/behind	pos
wek	appendage	hand/foot/etc.	pos
yokASA	in-what-way	in what manner	pos
leEmalanE	love[n]	the feeling of love	pos
ObEzAnO	smoking-pipe	pipe (for smoking)	pos
mAHkabowE	argument	argument	pos
stufOwE	jumping	thing that jumps; jumping	pos
bin	culture	culture/nation	pos
stravd	electricity	electricity	pos
TOzesO	restroom	restroom	pos
zaGlemiwE	flavour[n]	flavour	pos
mAHheldjt	political-state	state (in the political sense)	pos
yafSpenE	giver	giver; donation	pos
wymusil	reason-to-live	reason to live	pos
muksi	death	death	pos
lAsoeterE	videogames	videogames	pos
odzod	be-surrounded	to be in the middle of/to be surrounded by	pos
mAHkabo	argue	to argue	pos
aktO	copy[v]	to reproduce; to copy	pos
Gedil	violet	blue/violet (400-490 nm)	pos
desE	becoming	becoming	pos
rAmurer	Mind	a Mind	pos
kataHhagnAt	east	east	pos
sotE	imperfection	imperfection	pos
Hysp	hierarchy	hierarchy	pos
noHt	stop[v]	to stop	pos
SafE	release[n]	pressure release	pos
nadekE	consumption	consumption	pos
aklemiwE	smelling	smelling	pos
pet	seem-to	to seem to x (example: 'ge'='you'; 'peget'='seems to you')	pos
ekeS	run-out-of	to run out of	pos
owaG	be-left-of	to be to the left of	pos
lelem	tongue	tongue	pos
EltsEmarawE	products	products/goods	pos
gatdzodlemiwE	texture	texture	pos
oG	one[pron]	fourth-person singular pronoun	pos
bu	last	last/final	pos
okHrAtE	conquest	conquest	pos
meEGgaf	poem	poem	pos
owEha	be-behind	to be behind	pos
yokA	[to-adv]	adverbial modifier	pos
EntlemiwE	vision	vision	pos
yafmurer	accept	to accept	pos
heT	believe	to believe	pos
waG	direction-left	left	pos
jwagawE	analog-gaming	gaming (non-digital)	pos
SLat	barrier	barrier/obstacle	pos
rezen	grow	to grow	pos
Gykve	unite	to unite/join together	pos
zaGlemi	taste[v]	to taste	pos
sot	make-imperfect	imperfect; to make imperfect	pos
heH	no	no	pos
mere	environment	environment	pos
GuhiH	disregard[v]	to disregard; to not worry about	pos
ognAt	orbit[v]	to orbit	pos
sAnowE	existence	existence	pos
aktOgafmara	copy-text[v]	to copy text	pos
Suzt	desirable	desirable/favourable	pos
gatdzod	surface	surface	pos
guHetpren	land-vehicle	land vehicle	pos
ogoyn	ultraviolet	ultraviolet (280-400 nm)	pos
fwEst	container	box/container	pos
hegAret	serious	serious	pos
SAlE	where	where/when	pos
hagnAt	axis	axis of rotation	pos
mEGuse	share[v]	to share	pos
mEGusewE	sharing	sharing	pos
gore	meet[v]	to meet	pos
gikwemra	rights	rights (as in human rights, property rights, etc.)	pos
boHet	powerful-being	powerful/advanced being	pos
lerEnE	lying-down	the act of lying down	pos
OprahAwE	movement	movement	pos
EnslewE	creation	creation; creator	pos
berO	old	old	pos
hAlaksE	runner	runner, running	pos
HAtsHa	unintelligent	unintelligent	pos
nheH	zero	zero	pos
ak	gas	gas	noun
beHOm	past	past	pos
amnwe	eight-to-power	eight to the power of	pos
gaftSavetE	meaning[n]	meaning	pos
Sin	above	above/up	pos
galollemiwE	hearing[n]	hearing; listener	pos
spetSiH	immature-person	immature or whiny person	pos
murer	mind	mind	pos
kabo	speak	to speak	pos
TO	dispose-of	to get rid/dispose of	pos
u	and	and/plus	pos
vso	carbohydrates	carbohydrates; starch	pos
TA	large	large	pos
sjwonE	limit[n]	limit	pos
tswa	instance	instance/occurrence	pos
AG	then	then	pos
olteb	cord	cord; string	pos
vsoShorn	bread	bread	pos
Opre	leg	leg	pos
wataO	towards	towards	pos
GykvewE	union	union	pos
ta	that	that/those	pos
des sha	fall[v]	to fall	pos
rasaOG	number	number	pos
orhO	is-it-okay-to	is it okay to	pos
tSOdz	game	game (non-digital)	pos
sendrat	on-ones-initiative	on one's own initiative	pos
